onboarded_month,user_login_month,count_user_login,auth_month,registration_status,primary_act_holder_member_id,transfer_amount,deposit_amount,deposit_count,transaction_amount,transfer_count
2021-08-25,2021-05-28,61,2021-12-04,pending,115,1850.46,1998.67,97,71.95,43
2021-07-27,2021-07-06,7,2021-06-23,onboarded,914,893.41,1476.74,57,66.15,72
2021-08-13,2021-04-15,85,2021-11-11,pending,148,828.36,1841.52,95,19.99,56
2021-11-09,2021-08-10,21,2021-11-29,onboarded,715,546.21,1681.8,91,15.89,65
2021-06-10,2021-10-15,37,2021-08-28,activated,967,1431.53,1949.7,82,82.57,12
2021-12-01,2021-12-14,64,2021-10-07,pending,700,18.82,1225.61,59,69.57,66
2021-04-13,2021-02-28,72,2021-08-21,onboarded,661,1597.23,741.51,76,96.7,95
2021-02-15,2021-08-22,47,2021-09-04,onboarded,36,1510.91,935.3,97,13.24,5
2021-08-31,2021-04-07,100,2021-08-10,onboarded,538,1969.79,194.78,57,75.46,15
2021-03-25,2021-08-20,74,2021-10-03,onboarded,376,355.19,92.59,48,97.43,34
2021-06-02,2021-04-18,35,2021-06-19,activated,881,1131.66,966.55,17,4.4,29
2021-11-16,2021-09-21,62,2021-03-14,activated,855,793.18,1233.12,35,38.9,82
2021-01-16,2021-01-23,56,2021-08-29,onboarded,804,13.73,1837.31,30,5.4,20
2021-12-12,2021-03-25,1,2021-03-10,onboarded,483,736.78,153.71,63,66.39,69
2021-04-14,2021-03-18,43,2021-12-18,onboarded,590,690.82,1158.34,73,24.24,25
2021-01-05,2021-07-15,70,2021-04-13,pending,959,708.24,1122.33,36,82.8,80
2021-08-27,2021-01-31,43,2021-08-19,onboarded,10,99.65,1290.53,53,90.81,39
2021-07-23,2021-01-02,32,2021-05-08,activated,839,1806.66,1993.9,51,19.52,69
2021-06-27,2021-01-17,35,2021-10-13,pending,234,1735.46,224,21,98.12,9
2021-02-05,2021-08-07,71,2021-09-02,pending,790,998.34,1995.42,45,45.3,36
2021-08-30,2021-02-09,37,2021-04-01,onboarded,138,905.3,1027.52,71,95.14,53
2021-05-01,2021-04-08,13,2021-06-28,onboarded,85,356.62,338.22,61,57.28,41
